,Duration,Rental Id
,sum,count
Start Date,,
05/05/2014,72887220.0,33273
06/05/2014,43884600.0,32004
07/05/2014,32118540.0,28544
08/05/2014,23974680.0,19161
09/05/2014,34054560.0,29808
10/05/2014,34837440.0,19040
11/05/2014,27132840.0,17420
12/05/2014,29051520.0,25937
13/05/2014,27191940.0,25105
14/05/2014,42676800.0,33788
15/05/2014,43257960.0,34822
16/05/2014,49689660.0,35809
17/05/2014,77211780.0,37568
18/05/2014,101416440.0,42948
19/05/2014,52094160.0,36748
20/05/2014,37487040.0,33323
21/05/2014,39048840.0,34132
22/05/2014,33763260.0,30539
23/05/2014,37192560.0,30192
24/05/2014,27826260.0,18423
27/04/2014,38862660.0,21037
28/04/2014,38354520.0,29189
29/04/2014,74518200.0,45802
30/04/2014,78842520.0,48418
01/06/2014,85350240.0,36142
02/06/2014,44343420.0,33179
03/06/2014,34787520.0,29081
04/06/2014,35268240.0,25594
05/06/2014,42073920.0,34235
06/06/2014,52813560.0,37044
07/06/2014,57763620.0,29543
08/06/2014,99147240.0,43852
09/06/2014,49552560.0,34007
10/06/2014,57663420.0,39759
11/06/2014,51556440.0,39217
12/06/2014,53532780.0,39639
13/06/2014,60416280.0,39604
14/06/2014,59949780.0,32289
15/06/2014,51009120.0,28546
16/06/2014,35812800.0,31325
17/06/2014,48100920.0,37374
18/06/2014,43677420.0,35105
19/06/2014,41494620.0,35805
20/06/2014,46681260.0,36494
21/06/2014,79540860.0,41756
25/05/2014,86294640.0,32905
26/05/2014,27167760.0,11919
27/05/2014,17603760.0,14280
28/05/2014,28123920.0,21785
29/05/2014,36315300.0,28911
30/05/2014,45368880.0,30984
31/05/2014,79217400.0,34518
01/07/2014,56962920.0,39086
02/07/2014,57606180.0,40425
03/07/2014,60789120.0,42664
04/07/2014,57337020.0,37847
05/07/2014,49734300.0,26905
06/07/2014,62568960.0,30721
07/07/2014,46376640.0,35756
08/07/2014,43552140.0,34711
09/07/2014,49046100.0,38422
10/07/2014,37080900.0,31811
11/07/2014,36393300.0,27206
12/07/2014,75696240.0,37737
13/07/2014,60490980.0,32790
14/07/2014,50716140.0,38002
15/07/2014,52617180.0,40412
16/07/2014,54615000.0,41845
17/07/2014,56292540.0,41917
18/07/2014,55882920.0,39935
19/07/2014,65711640.0,36416
22/06/2014,95493840.0,41016
23/06/2014,49403820.0,34878
24/06/2014,57201480.0,37665
25/06/2014,56645340.0,39227
26/06/2014,48877920.0,35088
